id,language,category,french,reference_local,dialect,reviewer,candidate_local,candidate_french,meaning_score_0_2,naturalness_score_0_2,reverse_meaning_score_0_2,critical_error,notes
moore-01,moore,salutation,"Bonjour, comment allez-vous ?",,,,,,,,,,
moore-02,moore,prix,Combien coûte ce sac de riz ?,,,,,,,,,,
moore-03,moore,quantite,Je voudrais deux kilos de mil.,,,,,,,,,,
moore-04,moore,negation,Je ne veux pas acheter ce produit.,,,,,,,,,,
moore-05,moore,negation,Ne tournez pas à droite.,,,,,,,,,,
moore-06,moore,temps,"Hier, je suis allé au marché.",,,,,,,,,,
moore-07,moore,temps,"Demain, nous irons à Bobo-Dioulasso.",,,,,,,,,,
moore-08,moore,conjugaison,Nous mangeons ensemble.,,,,,,,,,,
moore-09,moore,nombre,Le prix est de 2 500 francs CFA.,,,,,,,,,,
moore-10,moore,nombre,Le car part à 14 heures 30.,,,,,,,,,,
moore-11,moore,nom_propre,Je cherche Aïssata à Ouagadougou.,,,,,,,,,,
moore-12,moore,direction,Où se trouve la gare routière ?,,,,,,,,,,
moore-13,moore,clarification,Pouvez-vous répéter plus lentement ?,,,,,,,,,,
moore-14,moore,inconnu,Je souhaite recharger la batterie de mon téléphone.,,,,,,,,,,
moore-15,moore,inconnu,Comment envoyer ce document par courrier électronique ?,,,,,,,,,,
moore-16,moore,ambiguite,Je cherche un avocat.,,,,,,,,,,
moore-17,moore,ambiguite,Il est devant la banque.,,,,,,,,,,
moore-18,moore,politesse,Merci de votre aide.,,,,,,,,,,
moore-19,moore,question,Avez-vous de l’eau potable ?,,,,,,,,,,
moore-20,moore,accord,Les enfants sont arrivés.,,,,,,,,,,
moore-21,moore,condition,"Si le car est plein, je prendrai le suivant.",,,,,,,,,,
moore-22,moore,opposition,"Je veux le petit sac, pas le grand.",,,,,,,,,,
moore-23,moore,possession,Ce sac appartient à ma sœur.,,,,,,,,,,
moore-24,moore,demande,"Appelez mon frère, s’il vous plaît.",,,,,,,,,,
dioula-01,dioula,salutation,"Bonjour, comment allez-vous ?",,,,,,,,,,
dioula-02,dioula,prix,Combien coûte ce sac de riz ?,,,,,,,,,,
dioula-03,dioula,quantite,Je voudrais deux kilos de mil.,,,,,,,,,,
dioula-04,dioula,negation,Je ne veux pas acheter ce produit.,,,,,,,,,,
dioula-05,dioula,negation,Ne tournez pas à droite.,,,,,,,,,,
dioula-06,dioula,temps,"Hier, je suis allé au marché.",,,,,,,,,,
dioula-07,dioula,temps,"Demain, nous irons à Bobo-Dioulasso.",,,,,,,,,,
dioula-08,dioula,conjugaison,Nous mangeons ensemble.,,,,,,,,,,
dioula-09,dioula,nombre,Le prix est de 2 500 francs CFA.,,,,,,,,,,
dioula-10,dioula,nombre,Le car part à 14 heures 30.,,,,,,,,,,
dioula-11,dioula,nom_propre,Je cherche Aïssata à Ouagadougou.,,,,,,,,,,
dioula-12,dioula,direction,Où se trouve la gare routière ?,,,,,,,,,,
dioula-13,dioula,clarification,Pouvez-vous répéter plus lentement ?,,,,,,,,,,
dioula-14,dioula,inconnu,Je souhaite recharger la batterie de mon téléphone.,,,,,,,,,,
dioula-15,dioula,inconnu,Comment envoyer ce document par courrier électronique ?,,,,,,,,,,
dioula-16,dioula,ambiguite,Je cherche un avocat.,,,,,,,,,,
dioula-17,dioula,ambiguite,Il est devant la banque.,,,,,,,,,,
dioula-18,dioula,politesse,Merci de votre aide.,,,,,,,,,,
dioula-19,dioula,question,Avez-vous de l’eau potable ?,,,,,,,,,,
dioula-20,dioula,accord,Les enfants sont arrivés.,,,,,,,,,,
dioula-21,dioula,condition,"Si le car est plein, je prendrai le suivant.",,,,,,,,,,
dioula-22,dioula,opposition,"Je veux le petit sac, pas le grand.",,,,,,,,,,
